date,event,fake-position,position,id,y,t,image,caption,credit,,,,,,,,,,,,,,,,,,
November 2004," Voters pass Measure AA, $980 million bond to seismically strengthen BART",0.830900243,83.09002433,e24,y-24,t-24,,,,,,,,,,,,11,,2004,,672,683,683,,683,0.830900243
October 2010," Groundbreaking for eBART, a diesel rail extension to Antioch",0.917274939,91.72749392,e25,y-25,t-25,./assets/img/20150924.jpg,,"Photo: Paul Chinn, The Chronicle",,,,,,,,,10,,2010,,744,754,754,,754,0.917274939
May 2012, BART directors order 410 new redesigned rail cars,0.940389294,94.03892944,e26,y-26,t-26,,,,,,,,,,,,5,,2012,,768,773,773,,773,0.940389294
October 2012," BART sets ridership record of 568,061 due to Giants' parade and Halloween",0.946472019,94.64720195,e27,y-27,t-27,,,,,,,,,,,,10,,2012,,768,778,778,,778,0.946472019
July 2013, Strike by BART unions lasts four-and-a-half days ,0.957420925,95.74209246,e28,y-28,t-28,,,,,,,,,,,,7,,2013,,780,787,787,,787,0.957420925
October 2013, Second BART strike ends with contract settlement after four days,0.96107056,96.10705596,e29,y-29,t-29,./assets/img/20131019.jpg,,"Photo: James Tensuan, The Chronicle",,,,,,,,,10,,2013,,780,790,790,,790,0.96107056
November 2013, BART directors order 365 more new rail cars,0.962287105,96.22871046,e30,y-30,t-30,,,,,,,,,,,,11,,2013,,780,791,791,,791,0.962287105
November 2014," Oakland Airport Connector, an automated rail link to Oakland International Airport, opens",0.976885645,97.68856448,e31,y-31,t-31,./assets/img/20160318.jpg,,"Photo: Paul Chinn, The Chronicle",,,,,,,,,11,,2014,,792,803,803,,803,0.976885645
April 2016," First car of BART's new, redesigned fleet arrives for testing",0.99756691,99.756691,e32,y-32,t-32,,,,,,,,,,,,4,,2016,,816,820,820,,820,0.99756691
June 2016, Board of Directors puts $3.5 billion bond measure on November ballot,1,100,e33,y-33,t-33,./assets/img/20160825.jpg,,"Photo: Leah Millis, The Chronicle",,,,,,,,,6,,2016,,816,822,822,,822,1
